Analyse de l'image : IMG_20190829_140446.jpg
Résultats de la prédiction :
- Classe 568 : 0.00%
- Classe 569 : 0.00%
- Classe 570 : 0.00%
- Classe 571 : 0.00%
- Classe 572 : 0.00%
- Classe 573 : 0.00%
- Classe 574 : 0.00%
- Classe 575 : 0.00%
- Classe 576 : 0.00%
- Classe 577 : 0.00%
- Classe 578 : 0.00%
- Classe 579 : 0.00%
- Classe 580 : 0.00%
- Classe 581 : 0.00%
- Classe 582 : 0.00%
- Classe 583 : 0.00%
- Classe 584 : 0.00%
- Classe 585 : 0.00%
- Classe 586 : 0.00%
- Classe 587 : 0.00%
- Classe 588 : 0.00%
- Classe 589 : 0.00%
- Classe 590 : 0.00%
- Classe 591 : 0.00%
- Classe 592 : 0.00%
- Classe 593 : 0.00%
- Classe 594 : 0.00%
- Classe 595 : 0.00%
- Classe 596 : 0.00%
- Classe 597 : 0.00%
- Classe 598 : 0.00%
- Classe 599 : 0.00%
- Classe 600 : 0.00%
- Classe 601 : 0.00%
- Classe 602 : 0.00%
- Classe 603 : 0.00%
- Classe 604 : 0.00%
- Classe 605 : 0.00%
- Classe 606 : 0.00%
- Classe 607 : 0.00%
- Classe 608 : 0.00%
- Classe 609 : 0.00%
- Classe 610 : 0.00%
- Classe 611 : 0.00%
- Classe 612 : 0.00%
- Classe 613 : 0.00%
- Classe 614 : 0.00%
- Classe 615 : 0.00%
- Classe 616 : 0.00%
- Classe 617 : 0.00%
- Classe 618 : 0.00%
- Classe 619 : 0.00%
- Classe 620 : 0.00%
- Classe 621 : 0.00%
- Classe 622 : 0.00%
- Classe 623 : 0.00%
- Classe 624 : 0.00%
- Classe 625 : 0.00%
- Classe 626 : 0.00%
- Classe 627 : 0.00%
- Classe 628 : 0.00%
- Classe 629 : 0.00%
- Classe 630 : 0.00%
- Classe 631 : 0.00%
- Classe 632 : 0.00%
- Classe 633 : 0.00%
- Classe 634 : 0.00%
- Classe 635 : 0.00%
- Classe 636 : 0.00%
- Classe 637 : 0.00%
- Classe 638 : 0.00%
- Classe 639 : 0.00%
- Classe 640 : 0.00%
- Classe 641 : 0.00%
- Classe 642 : 0.00%
- Classe 643 : 0.00%
- Classe 644 : 0.00%
- Classe 645 : 0.00%
- Classe 646 : 0.00%
- Classe 647 : 0.00%
- Classe 648 : 0.00%
- Classe 649 : 0.00%
- Classe 650 : 0.00%
- Classe 651 : 1.00%
- Classe 652 : 0.00%
- Classe 653 : 0.00%
- Classe 654 : 0.00%
- Classe 655 : 0.00%
- Classe 656 : 0.00%
- Classe 657 : 0.00%
- Classe 658 : 0.00%
- Classe 659 : 0.00%
- Classe 660 : 0.00%
- Classe 661 : 0.00%
- Classe 662 : 0.00%
- Classe 663 : 0.00%
- Classe 664 : 0.00%
- Classe 665 : 0.00%
- Classe 666 : 0.00%
- Classe 667 : 0.00%
- Classe 668 : 0.00%
- Classe 669 : 0.00%
- Classe 670 : 0.00%
- Classe 671 : 0.00%
- Classe 672 : 0.00%
- Classe 673 : 0.00%
- Classe 674 : 0.00%
- Classe 675 : 0.00%
- Classe 676 : 0.00%
- Classe 677 : 0.00%
- Classe 678 : 0.00%
- Classe 679 : 0.00%
- Classe 680 : 0.00%
- Classe 681 : 0.00%
- Classe 682 : 0.00%
- Classe 683 : 0.00%
- Classe 684 : 0.00%
- Classe 685 : 0.00%
- Classe 686 : 0.00%
- Classe 687 : 0.00%
- Classe 688 : 3.00%
- Classe 689 : 0.00%
- Classe 690 : 0.00%
- Classe 691 : 0.00%
- Classe 692 : 0.00%
- Classe 693 : 0.00%
- Classe 694 : 0.00%
- Classe 695 : 0.00%
- Classe 696 : 0.00%
- Classe 697 : 0.00%
- Classe 698 : 0.00%
- Classe 699 : 0.00%
- Classe 700 : 0.00%
- Classe 701 : 0.00%
- Classe 702 : 0.00%
- Classe 703 : 0.00%
- Classe 704 : 0.00%
- Classe 705 : 0.00%
- Classe 706 : 0.00%
- Classe 707 : 0.00%
- Classe 708 : 0.00%
- Classe 709 : 1.00%
- Classe 710 : 0.00%
- Classe 711 : 0.00%
- Classe 712 : 0.00%
- Classe 713 : 0.00%
- Classe 714 : 0.00%
- Classe 715 : 0.00%
- Classe 716 : 0.00%
- Classe 717 : 0.00%
- Classe 718 : 0.00%
- Classe 719 : 0.00%
- Classe 720 : 0.00%
- Classe 721 : 0.00%
- Classe 722 : 0.00%
- Classe 723 : 0.00%
- Classe 724 : 0.00%
- Classe 725 : 0.00%
- Classe 726 : 0.00%
- Classe 727 : 0.00%
- Classe 728 : 0.00%
- Classe 729 : 0.00%
- Classe 730 : 0.00%
- Classe 731 : 0.00%
- Classe 732 : 0.00%
- Classe 733 : 0.00%
- Classe 734 : 0.00%
- Classe 735 : 0.00%
- Classe 736 : 0.00%
- Classe 737 : 0.00%
- Classe 738 : 0.00%
- Classe 739 : 0.00%
- Classe 740 : 0.00%
- Classe 741 : 0.00%
- Classe 742 : 0.00%
- Classe 743 : 0.00%
- Classe 744 : 0.00%
- Classe 745 : 0.00%
- Classe 746 : 0.00%
- Classe 747 : 0.00%
- Classe 748 : 0.00%
- Classe 749 : 0.00%
- Classe 750 : 0.00%
- Classe 751 : 0.00%
- Classe 752 : 0.00%
- Classe 753 : 0.00%
- Classe 754 : 0.00%
- Classe 755 : 0.00%
- Classe 756 : 0.00%
- Classe 757 : 0.00%
- Classe 758 : 0.00%
- Classe 759 : 0.00%
- Classe 760 : 0.00%
- Classe 761 : 0.00%
- Classe 762 : 0.00%
- Classe 763 : 0.00%
- Classe 764 : 0.00%
- Classe 765 : 0.00%
- Classe 766 : 0.00%
- Classe 767 : 0.00%
- Classe 768 : 0.00%
- Classe 769 : 45.00%
- Classe 770 : 0.00%
- Classe 771 : 0.00%
- Classe 772 : 0.00%
- Classe 773 : 0.00%
- Classe 774 : 0.00%
- Classe 775 : 0.00%
- Classe 776 : 0.00%
- Classe 777 : 0.00%
- Classe 778 : 0.00%
- Classe 779 : 0.00%
- Classe 780 : 0.00%
- Classe 781 : 0.00%
- Classe 782 : 0.00%
- Classe 783 : 0.00%
- Classe 784 : 0.00%
- Classe 785 : 0.00%
- Classe 786 : 1.00%
- Classe 787 : 0.00%
- Classe 788 : 0.00%
- Classe 789 : 0.00%
- Classe 790 : 0.00%
- Classe 791 : 0.00%
- Classe 792 : 0.00%
- Classe 793 : 0.00%
- Classe 794 : 17.00%
- Classe 795 : 0.00%
- Classe 796 : 0.00%
- Classe 797 : 0.00%
- Classe 798 : 3.00%
- Classe 799 : 0.00%
- Classe 800 : 0.00%
- Classe 801 : 0.00%
- Classe 802 : 0.00%
- Classe 803 : 0.00%
- Classe 804 : 0.00%
- Classe 805 : 0.00%
- Classe 806 : 0.00%
- Classe 807 : 0.00%
- Classe 808 : 0.00%
- Classe 809 : 0.00%
- Classe 810 : 0.00%
- Classe 811 : 0.00%
- Classe 812 : 0.00%
- Classe 813 : 0.00%
- Classe 814 : 0.00%
- Classe 815 : 0.00%
- Classe 816 : 0.00%
- Classe 817 : 0.00%
- Classe 818 : 0.00%
- Classe 819 : 0.00%
- Classe 820 : 0.00%
- Classe 821 : 0.00%
- Classe 822 : 0.00%
- Classe 823 : 0.00%
- Classe 824 : 0.00%
- Classe 825 : 0.00%
- Classe 826 : 0.00%
- Classe 827 : 0.00%
- Classe 828 : 0.00%
- Classe 829 : 0.00%
- Classe 830 : 0.00%
- Classe 831 : 0.00%
- Classe 832 : 0.00%
- Classe 833 : 0.00%
- Classe 834 : 0.00%
- Classe 835 : 0.00%
- Classe 836 : 0.00%
- Classe 837 : 0.00%
- Classe 838 : 0.00%
- Classe 839 : 0.00%
- Classe 840 : 0.00%
- Classe 841 : 0.00%
- Classe 842 : 0.00%
- Classe 843 : 0.00%
- Classe 844 : 0.00%
- Classe 845 : 0.00%
- Classe 846 : 0.00%
- Classe 847 : 0.00%
- Classe 848 : 0.00%
- Classe 849 : 0.00%
- Classe 850 : 0.00%
- Classe 851 : 0.00%
- Classe 852 : 0.00%
- Classe 853 : 0.00%
- Classe 854 : 0.00%
- Classe 855 : 0.00%
- Classe 856 : 0.00%
- Classe 857 : 0.00%
- Classe 858 : 0.00%
- Classe 859 : 0.00%
- Classe 860 : 0.00%
- Classe 861 : 0.00%
- Classe 862 : 0.00%
- Classe 863 : 0.00%
- Classe 864 : 0.00%
- Classe 865 : 0.00%
- Classe 866 : 0.00%
- Classe 867 : 0.00%
- Classe 868 : 0.00%
- Classe 869 : 0.00%
- Classe 870 : 0.00%
- Classe 871 : 0.00%
- Classe 872 : 0.00%
- Classe 873 : 0.00%
- Classe 874 : 0.00%
- Classe 875 : 0.00%
- Classe 876 : 0.00%
- Classe 877 : 0.00%
- Classe 878 : 0.00%
- Classe 879 : 0.00%
- Classe 880 : 0.00%
- Classe 881 : 0.00%
- Classe 882 : 0.00%
- Classe 883 : 0.00%
- Classe 884 : 0.00%
- Classe 885 : 0.00%
- Classe 886 : 0.00%
- Classe 887 : 0.00%
- Classe 888 : 0.00%
- Classe 889 : 0.00%
- Classe 890 : 0.00%
- Classe 891 : 0.00%
- Classe 892 : 0.00%
- Classe 893 : 0.00%
- Classe 894 : 0.00%
- Classe 895 : 0.00%
- Classe 896 : 0.00%
- Classe 897 : 0.00%
- Classe 898 : 0.00%
- Classe 899 : 0.00%
- Classe 900 : 0.00%
- Classe 901 : 0.00%
- Classe 902 : 0.00%
- Classe 903 : 0.00%
- Classe 904 : 0.00%
- Classe 905 : 0.00%
- Classe 906 : 0.00%
- Classe 907 : 0.00%
- Classe 908 : 0.00%
- Classe 909 : 0.00%
- Classe 910 : 0.00%
- Classe 911 : 0.00%
- Classe 912 : 0.00%
- Classe 913 : 0.00%
- Classe 914 : 0.00%
- Classe 915 : 0.00%
- Classe 916 : 0.00%
- Classe 917 : 0.00%
- Classe 918 : 0.00%
- Classe 919 : 0.00%
- Classe 920 : 0.00%
- Classe 921 : 0.00%
- Classe 922 : 1.00%
- Classe 923 : 0.00%
- Classe 924 : 0.00%
- Classe 925 : 0.00%
- Classe 926 : 0.00%
- Classe 927 : 0.00%
- Classe 928 : 0.00%
- Classe 929 : 0.00%
- Classe 930 : 0.00%
- Classe 931 : 0.00%
- Classe 932 : 0.00%
- Classe 933 : 0.00%
- Classe 934 : 0.00%
- Classe 935 : 0.00%
- Classe 936 : 0.00%
- Classe 937 : 0.00%
- Classe 938 : 0.00%
- Classe 939 : 0.00%
- Classe 940 : 0.00%
- Classe 941 : 0.00%
- Classe 942 : 0.00%
- Classe 943 : 0.00%
- Classe 944 : 0.00%
- Classe 945 : 0.00%
- Classe 946 : 0.00%
- Classe 947 : 0.00%
- Classe 948 : 0.00%
- Classe 949 : 0.00%
- Classe 950 : 0.00%
- Classe 951 : 0.00%
- Classe 952 : 0.00%
- Classe 953 : 0.00%
- Classe 954 : 0.00%
- Classe 955 : 0.00%
- Classe 956 : 0.00%
- Classe 957 : 0.00%
- Classe 958 : 0.00%
- Classe 959 : 0.00%
- Classe 960 : 0.00%
- Classe 961 : 0.00%
- Classe 962 : 0.00%
- Classe 963 : 0.00%
- Classe 964 : 0.00%
- Classe 965 : 0.00%
- Classe 966 : 0.00%
- Classe 967 : 0.00%
- Classe 968 : 0.00%
- Classe 969 : 0.00%
- Classe 970 : 0.00%
- Classe 971 : 0.00%
- Classe 972 : 0.00%
- Classe 973 : 0.00%
- Classe 974 : 0.00%
- Classe 975 : 0.00%
- Classe 976 : 0.00%
- Classe 977 : 0.00%
- Classe 978 : 0.00%
- Classe 979 : 0.00%
- Classe 980 : 0.00%
- Classe 981 : 0.00%
- Classe 982 : 0.00%
- Classe 983 : 0.00%
- Classe 984 : 0.00%
- Classe 985 : 0.00%
- Classe 986 : 0.00%
- Classe 987 : 0.00%
- Classe 988 : 0.00%
